Time Heading Pitch Roll AccelX AccelY AccelZ GravityX GravityY GravityZ
0.003 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
3.459 0.00 0.10 2.19 0.00 -0.01 -0.13 -0.01 0.37 9.79
3.570 0.00 0.10 2.19 0.00 0.00 -0.13 -0.01 0.37 9.79
3.753 0.00 0.10 2.19 0.00 -0.02 -0.12 -0.01 0.37 9.79
3.762 0.00 0.10 2.19 0.00 -0.02 -0.12 -0.01 0.37 9.79
3.856 0.00 0.10 2.19 0.01 -0.03 -0.14 -0.01 0.37 9.79
3.961 0.00 0.10 2.19 0.00 -0.01 -0.13 -0.01 0.37 9.79
4.068 0.00 0.10 2.19 0.00 -0.02 -0.14 -0.01 0.37 9.79
4.255 0.00 0.10 2.19 0.01 -0.02 -0.13 -0.01 0.37 9.79
4.263 0.00 0.10 2.19 0.00 -0.02 -0.14 -0.01 0.37 9.79
4.362 0.00 0.10 2.19 0.01 -0.01 -0.12 -0.01 0.37 9.79
4.578 0.00 0.10 2.19 0.01 -0.01 -0.13 -0.01 0.37 9.79
4.597 0.00 0.10 2.19 0.00 -0.03 -0.12 -0.01 0.37 9.79
4.788 0.00 0.10 2.19 0.00 -0.01 -0.12 -0.01 0.37 9.79
4.795 0.00 0.10 2.19 0.00 -0.02 -0.13 -0.01 0.37 9.79
4.888 0.00 0.10 2.19 0.00 -0.03 -0.13 -0.01 0.37 9.79
4.977 0.00 0.10 2.19 0.00 0.00 -0.13 -0.01 0.37 9.79
5.187 0.00 0.10 2.19 0.01 0.00 -0.13 -0.01 0.37 9.79
5.198 0.00 0.10 2.19 0.00 -0.02 -0.13 -0.01 0.37 9.79
5.293 0.00 0.10 2.19 0.00 -0.02 -0.14 -0.01 0.37 9.79
5.384 0.00 0.10 2.19 0.01 -0.02 -0.14 -0.01 0.37 9.79
5.589 0.00 0.10 2.19 0.01 -0.04 -0.13 -0.01 0.37 9.79
5.597 0.00 0.10 2.19 0.00 -0.03 -0.13 -0.01 0.37 9.79
5.695 0.00 0.10 2.19 0.00 -0.01 -0.16 -0.01 0.37 9.79
5.904 0.00 0.10 2.19 0.00 -0.02 -0.12 -0.01 0.37 9.79
5.914 0.00 0.10 2.19 0.02 -0.03 -0.14 -0.01 0.37 9.79
5.998 0.00 0.10 2.19 0.01 -0.03 -0.16 -0.01 0.37 9.79
6.108 0.00 0.10 2.19 0.00 -0.03 -0.11 -0.01 0.37 9.79
