Time RPM1 RPM2 RPM3
0.003 0.0 0.0 0.0
0.008 0.0 0.0 0.0
0.013 0.0 0.0 0.0
0.014 0.0 0.0 0.0
0.015 0.0 0.0 0.0
0.190 0.0 0.0 0.0
0.191 0.0 0.0 0.0
0.194 0.0 0.0 0.0
0.195 0.0 0.0 0.0
0.200 0.0 0.0 0.0
0.201 0.0 0.0 0.0
0.202 0.0 0.0 0.0
0.203 0.0 0.0 0.0
0.204 0.0 0.0 0.0
0.205 0.0 0.0 0.0
0.280 0.0 0.0 0.0
0.281 0.0 0.0 0.0
0.282 0.0 0.0 0.0
0.283 0.0 0.0 0.0
0.284 0.0 0.0 0.0
0.330 0.0 0.0 0.0
0.331 0.0 0.0 0.0
0.334 0.0 0.0 0.0
0.480 0.0 0.0 0.0
0.483 0.0 0.0 0.0
0.485 0.0 0.0 0.0
0.486 0.0 0.0 0.0
0.488 0.0 0.0 0.0
0.491 0.0 0.0 0.0
0.493 0.0 0.0 0.0
0.545 0.0 0.0 0.0
0.546 0.0 0.0 0.0
0.547 0.0 0.0 0.0
0.549 0.0 0.0 0.0
0.598 0.0 0.0 0.0
0.599 0.0 0.0 0.0
0.785 0.0 0.0 0.0
0.787 0.0 0.0 0.0
0.790 0.0 0.0 0.0
0.794 0.0 0.0 0.0
0.795 0.0 0.0 0.0
0.796 0.0 0.0 0.0
0.798 0.0 0.0 0.0
0.799 0.0 0.0 0.0
0.803 0.0 0.0 0.0
0.805 0.0 0.0 0.0
0.878 0.0 0.0 0.0
0.882 0.0 0.0 0.0
1.018 0.0 0.0 0.0
1.020 0.0 0.0 0.0
1.022 0.0 0.0 0.0
1.024 0.0 0.0 0.0
1.026 0.0 0.0 0.0
1.027 0.0 0.0 0.0
1.029 0.0 0.0 0.0
1.030 0.0 0.0 0.0
1.212 0.0 0.0 0.0
1.213 0.0 0.0 0.0
1.214 0.0 0.0 0.0
1.215 0.0 0.0 0.0
1.216 0.0 0.0 0.0
1.218 0.0 0.0 0.0
1.219 0.0 0.0 0.0
1.220 0.0 0.0 0.0
1.221 0.0 0.0 0.0
1.221 0.0 0.0 0.0
1.296 0.0 0.0 0.0
1.297 0.0 0.0 0.0
1.298 0.0 0.0 0.0
1.299 0.0 0.0 0.0
1.301 0.0 0.0 0.0
1.353 0.0 0.0 0.0
1.361 0.0 0.0 0.0
1.362 0.0 0.0 0.0
1.489 0.0 0.0 0.0
1.491 0.0 0.0 0.0
1.494 0.0 0.0 0.0
1.495 0.0 0.0 0.0
1.496 0.0 0.0 0.0
1.497 0.0 0.0 0.0
1.499 0.0 0.0 0.0
1.615 0.0 0.0 0.0
1.616 0.0 0.0 0.0
1.618 0.0 0.0 0.0
1.620 0.0 0.0 0.0
1.622 0.0 0.0 0.0
1.624 0.0 0.0 0.0
1.815 0.0 0.0 0.0
1.816 0.0 0.0 0.0
1.819 0.0 0.0 0.0
1.820 0.0 0.0 0.0
1.821 0.0 0.0 0.0
1.823 0.0 0.0 0.0
1.824 0.0 0.0 0.0
1.824 0.0 0.0 0.0
1.825 0.0 0.0 0.0
1.827 0.0 0.0 0.0
