Time (s),RPM1,RPM2,RPM3,dt (s),Vx (m/s),Vy (m/s),Omega (rad/s),X (m),Y (m),Theta (rad)
0.057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.061,0.0,0.0,0.0,0.003999999999999997,0.0,0.0,0.0,0.0,0.0,0.0
0.063,0.0,0.0,0.0,0.0020000000000000018,0.0,0.0,0.0,0.0,0.0,0.0
0.112,0.0,0.0,0.0,0.049,0.0,0.0,0.0,0.0,0.0,0.0
0.113,0.0,0.0,0.0,0.0010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0
0.115,0.0,0.0,0.0,0.0020000000000000018,0.0,0.0,0.0,0.0,0.0,0.0
0.22,0.0,0.0,0.0,0.105,0.0,0.0,0.0,0.0,0.0,0.0
0.221,0.0,0.0,0.0,0.0010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0
0.222,0.0,0.0,0.0,0.0010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0
0.223,0.0,0.0,0.0,0.0010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0
0.225,0.0,0.0,0.0,0.0020000000000000018,0.0,0.0,0.0,0.0,0.0,0.0
0.324,0.0,0.0,0.0,0.099,0.0,0.0,0.0,0.0,0.0,0.0
0.325,0.0,0.0,0.0,0.0010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0
0.326,0.0,0.0,0.0,0.0010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0
0.327,0.0,0.0,0.0,0.0010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0
0.329,0.0,0.0,0.0,0.0020000000000000018,0.0,0.0,0.0,0.0,0.0,0.0
0.38,0.0,0.0,0.0,0.05099999999999999,0.0,0.0,0.0,0.0,0.0,0.0
0.381,0.0,0.0,0.0,0.0010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0
0.383,0.0,0.0,0.0,0.0020000000000000018,0.0,0.0,0.0,0.0,0.0,0.0
0.522,0.0,0.0,0.0,0.139,0.0,0.0,0.0,0.0,0.0,0.0
